Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
22,71,71,1.5,2.5,0.5,4.5,1.1,0.6
23,43,3,0.6,0.9,1.1,1.0,0.3,0.1
24,26,1,0.4,0.7,0.6,0.4,0.4,0.2
26,59,59,2.5,2.7,0.7,6.5,1.0,0.7
23,14,0,0.9,0.1,0.1,0.4,0.1,0.1
34,72,72,2.6,4.2,0.5,8.5,1.1,0.8
36,9,0,0.0,0.2,0.1,0.9,0.6,0.1
22,63,6,0.0,1.1,1.7,0.9,0.2,0.6
20,33,0,0.7,0.2,0.4,1.2,0.5,0.3
23,40,0,0.6,0.8,0.2,3.2,0.7,0.2
24,17,0,0.7,0.3,0.2,0.8,0.2,0.8
24,66,66,1.8,5.1,1.3,2.3,1.2,1.6
24,29,6,0.3,0.8,1.4,1.2,1.2,0.2
25,77,77,0.0,3.0,3.2,2.7,0.7,1.1
24,22,6,0.5,1.5,0.7,1.8,0.5,0.2
30,9,5,1.1,1.1,2.2,0.6,1.1,0.9
23,70,5,0.0,0.7,1.0,0.5,0.5,0.4
25,20,0,0.2,0.1,0.1,0.1,0.1,0.2
27,70,70,2.1,3.0,1.2,3.6,1.2,0.5
24,13,1,0.5,0.5,0.5,1.5,0.3,0.2
21,69,1,0.8,0.5,0.5,1.6,0.4,0.4
25,74,74,3.1,5.6,0.9,4.9,1.0,0.6
24,22,0,0.1,0.3,0.5,0.3,0.2,0.0
26,12,0,0.8,0.3,0.3,2.3,0.6,0.1
37,78,6,0.7,1.6,0.6,0.9,0.2,0.4
29,54,54,2.1,4.7,0.7,2.8,0.8,0.6
23,39,1,0.3,0.3,0.6,0.5,0.3,0.1
20,74,73,0.9,1.5,1.9,3.4,0.8,0.5
25,14,0,0.0,0.1,0.2,0.2,0.1,0.1
26,22,0,0.1,0.3,0.0,0.2,0.0,0.1
20,18,0,0.4,0.1,0.1,0.3,0.1,0.1
28,72,0,1.1,0.1,0.2,1.3,0.5,0.2
34,60,60,1.0,6.6,1.8,5.0,1.3,0.3
28,56,3,0.2,0.9,1.6,1.2,0.4,0.6
32,16,0,0.6,0.1,0.2,0.6,0.2,0.1
36,68,0,1.0,0.4,0.3,3.0,0.6,0.1
29,39,39,1.4,10.2,2.4,5.6,1.2,1.7
26,68,66,1.3,2.2,2.3,1.1,0.6,0.9
27,55,23,0.7,0.4,1.3,2.0,0.9,0.9
21,50,6,0.3,0.3,0.4,0.6,0.4,0.2
22,20,5,1.6,0.5,0.4,1.2,0.2,0.1
31,82,82,0.5,2.0,2.3,2.1,0.4,0.8
26,58,2,0.7,1.0,1.3,0.5,0.7,1.2
21,74,46,0.7,3.0,1.2,2.2,0.7,0.5
24,26,5,0.8,0.6,1.0,2.3,0.8,0.8
31,55,19,1.7,3.2,0.9,5.0,0.6,0.1
25,6,0,0.3,0.3,0.0,0.3,0.0,0.0
25,57,12,0.7,0.8,1.5,2.7,0.8,0.3
21,67,10,1.6,1.0,0.4,1.0,0.3,0.1
27,56,0,0.8,0.2,0.3,2.0,0.6,0.1
24,8,0,0.1,0.3,0.4,0.0,0.0,0.0
25,52,1,0.8,0.8,0.5,1.2,0.5,0.3
24,78,66,2.4,2.5,0.4,4.4,1.1,0.3
19,9,1,0.2,0.1,0.6,0.6,0.6,0.1
25,56,0,1.4,0.6,0.4,2.1,1.1,0.3
21,80,80,1.0,1.3,1.4,4.8,0.6,0.6
23,57,33,1.3,0.7,0.7,2.3,0.8,0.2
28,81,42,1.0,1.1,1.6,4.1,0.9,0.3
21,32,0,0.1,0.4,0.1,0.3,0.2,0.2
25,60,11,0.5,1.3,1.2,1.1,0.8,0.4
